Channel,Start_Date,Cumulative_Revenue
"Social Media","2023-08-18 00:00:00",2987338
"Social Media","2023-09-08 00:00:00",3110620
"Social Media","2023-09-20 00:00:00",3191925
"Social Media","2023-10-10 00:00:00",3338167
"Social Media","2023-10-10 00:00:00",3338167
"Social Media","2023-11-01 00:00:00",3410570
"Social Media","2023-11-06 00:00:00",3502092
"Social Media","2023-11-08 00:00:00",3563744
"Social Media","2023-11-10 00:00:00",3639637
"Social Media","2023-11-27 00:00:00",3748443
"Social Media","2023-11-30 00:00:00",3838659
"Social Media","2023-12-10 00:00:00",3913077
"Social Media","2023-12-11 00:00:00",4018459
"Social Media","2023-12-11 00:00:00",4018459
"Social Media","2023-12-15 00:00:00",4080240
"Social Media","2023-12-22 00:00:00",4127935
"Social Media","2023-12-24 00:00:00",4264156
"Social Media","2023-12-28 00:00:00",4370198
