ID,Campaign_ID,Impressions,Clicks,Sign_Ups,Conversions,Channel,Start_Date,End_Date,Budget,Target_Audience,New_User_Revenue,Returning_User_Revenue,Total_Revenue
103,CAMP103,138641,20977,10065,20252,Partnership,"2023-10-02 00:00:00","2023-07-30 00:00:00",4356,34807,58322,5900,64222
104,CAMP104,493171,152285,8860,27965,"Social Media","2023-11-27 00:00:00","2023-08-23 00:00:00",2614,27383,71086,37720,108806
105,CAMP105,49538,176089,8350,27087,Partnership,"2023-08-15 00:00:00","2024-01-06 00:00:00",3927,44109,3982,1389,5371
106,CAMP106,901121,21247,27765,6272,Influencer,"2023-08-14 00:00:00","2023-06-27 00:00:00",5940,13993,66186,60724,126910
107,CAMP107,992702,134981,30010,21253,Influencer,"2023-05-12 00:00:00","2023-03-07 00:00:00",2291,26634,30386,30641,61027
108,CAMP108,511047,11563,15299,5452,Influencer,"2023-08-17 00:00:00","2023-09-15 00:00:00",2383,25855,94951,10240,105191
109,CAMP109,462106,103793,39232,6961,Partnership,"2023-11-11 00:00:00","2024-01-09 00:00:00",5845,8983,11024,13498,24522
110,CAMP110,812506,141087,32049,20610,Influencer,"2023-05-09 00:00:00","2023-02-05 00:00:00",6538,42703,33808,54676,88484
111,CAMP111,506920,170807,25067,25813,"Search Ads","2023-10-23 00:00:00","2023-07-06 00:00:00",4070,44709,99203,3687,102890
112,CAMP112,827663,13320,43390,1638,"Social Media","2023-01-25 00:00:00","2023-05-14 00:00:00",1656,24169,87110,67749,154859
113,CAMP113,359535,46031,39285,5059,Partnership,"2023-07-06 00:00:00","2023-05-24 00:00:00",3593,19640,95203,60289,155492
114,CAMP114,793403,1011,6952,22972,Influencer,"2023-10-20 00:00:00","2024-01-16 00:00:00",4105,5945,57484,575,58059
115,CAMP115,957163,135938,27155,24619,"Social Media","2023-12-22 00:00:00","2023-05-01 00:00:00",8340,5848,27722,19973,47695
116,CAMP116,798109,17154,44866,5358,Partnership,"2023-11-22 00:00:00","2023-07-29 00:00:00",2510,33856,46627,28619,75246
117,CAMP117,817886,27204,17856,1019,"Social Media","2023-05-15 00:00:00","2023-08-29 00:00:00",2130,12640,60993,72483,133476
118,CAMP118,81685,180183,20061,12437,"Search Ads","2023-01-04 00:00:00","2023-06-05 00:00:00",1595,31042,8295,830,9125
119,CAMP119,34983,66483,8108,13259,Partnership,"2023-08-15 00:00:00","2023-10-14 00:00:00",5850,18189,30626,7272,37898
120,CAMP120,917306,168809,20254,18097,Influencer,"2023-06-18 00:00:00","2023-05-14 00:00:00",2440,35515,2311,20201,22512
121,CAMP121,474487,98847,8063,19660,Email,"2023-10-12 00:00:00","2023-02-18 00:00:00",6015,7093,69400,17754,87154
122,CAMP122,287553,196239,43114,16997,Influencer,"2023-11-21 00:00:00","2023-06-16 00:00:00",1324,42856,73683,38865,112548
123,CAMP123,846965,171866,33771,8577,Partnership,"2023-01-27 00:00:00","2023-02-23 00:00:00",6535,47558,60518,69563,130081
124,CAMP124,629366,45259,35609,18765,Influencer,"2023-08-13 00:00:00","2023-09-30 00:00:00",9854,29166,62760,17844,80604
125,CAMP125,658779,35851,12251,26806,Email,"2023-09-06 00:00:00","2023-10-09 00:00:00",8232,31794,33293,14644,47937
126,CAMP126,421509,3381,13916,19864,Email,"2023-07-21 00:00:00","2023-01-22 00:00:00",8909,22143,54751,36279,91030
127,CAMP127,983752,199945,10366,24327,Email,"2023-07-17 00:00:00","2024-02-01 00:00:00",1079,25880,19087,27898,46985
128,CAMP128,206011,62381,36575,26777,Influencer,"2023-05-16 00:00:00","2023-10-05 00:00:00",9275,41155,22516,3568,26084
129,CAMP129,735144,183352,49033,2339,Partnership,"2023-05-06 00:00:00","2023-04-28 00:00:00",7927,10785,77628,69499,147127
130,CAMP130,226401,90401,21013,10727,Influencer,"2023-04-05 00:00:00","2023-12-13 00:00:00",6130,43030,81204,8129,89333
131,CAMP131,859429,152844,15992,3913,Email,"2023-03-14 00:00:00","2024-01-21 00:00:00",6620,5877,5466,33350,38816
132,CAMP132,229102,43850,19419,5150,"Search Ads","2023-09-04 00:00:00","2023-12-23 00:00:00",2731,12997,33731,26629,60360
133,CAMP133,521122,15109,6684,16408,Email,"2023-12-07 00:00:00","2024-02-02 00:00:00",2360,33853,22423,4343,26766
134,CAMP134,448335,102524,24609,7581,Email,"2023-05-16 00:00:00","2024-01-21 00:00:00",6440,5081,34292,44658,78950
135,CAMP135,588905,153301,29211,6813,Partnership,"2023-07-15 00:00:00","2023-07-13 00:00:00",1363,40014,56279,54048,110327
136,CAMP136,503085,111434,2788,17992,Influencer,"2023-08-02 00:00:00","2023-11-19 00:00:00",5562,17316,50809,56101,106910
137,CAMP137,623669,143430,32458,1422,Partnership,"2023-04-19 00:00:00","2023-10-01 00:00:00",3386,37389,23951,15998,39949
138,CAMP138,881345,186622,16887,4128,Influencer,"2023-11-20 00:00:00","2023-12-14 00:00:00",9889,17772,9095,59039,68134
139,CAMP139,490424,165905,47659,7261,Email,"2023-04-13 00:00:00","2023-06-22 00:00:00",4478,49983,76375,21699,98074
140,CAMP140,80129,33407,19606,29752,Email,"2023-12-07 00:00:00","2023-01-25 00:00:00",8951,25978,6789,36442,43231
141,CAMP141,86138,76434,36354,959,Email,"2023-11-24 00:00:00","2023-05-11 00:00:00",4399,9274,40351,70706,111057
142,CAMP142,197615,41787,3721,17663,Influencer,"2023-03-25 00:00:00","2023-05-12 00:00:00",5409,8670,36265,40919,77184
143,CAMP143,391031,36910,2018,28867,Email,"2023-08-12 00:00:00","2023-07-16 00:00:00",3874,11325,15848,56134,71982
144,CAMP144,373787,96798,36941,7642,Partnership,"2023-09-14 00:00:00","2023-09-08 00:00:00",3317,31378,9983,61681,71664
145,CAMP145,264264,156105,13033,6831,Partnership,"2023-05-14 00:00:00","2023-07-28 00:00:00",7034,33203,6005,18281,24286
146,CAMP146,526085,154427,45215,8720,Email,"2023-12-14 00:00:00","2023-11-11 00:00:00",1078,16195,33904,34192,68096
147,CAMP147,640207,33760,8244,22006,"Search Ads","2023-04-18 00:00:00","2023-04-05 00:00:00",9142,31014,81340,21935,103275
148,CAMP148,704465,17223,21025,10052,Influencer,"2023-01-08 00:00:00","2023-03-19 00:00:00",6908,10947,80925,6869,87794
149,CAMP149,539529,162317,30595,8994,"Search Ads","2023-05-30 00:00:00","2023-12-14 00:00:00",6703,47126,3258,22093,25351
150,CAMP150,535121,191137,1066,5300,Email,"2023-06-21 00:00:00","2023-03-04 00:00:00",8413,18744,45813,66494,112307
151,CAMP151,327476,165741,3375,16461,"Search Ads","2023-02-16 00:00:00","2023-04-02 00:00:00",4163,26112,15728,73609,89337
152,CAMP152,417290,7799,42741,16826,Influencer,"2023-01-01 00:00:00","2023-06-14 00:00:00",7188,38848,25987,51101,77088
153,CAMP153,929577,132456,21251,3869,Influencer,"2023-12-27 00:00:00","2023-05-16 00:00:00",8951,25929,77965,28839,106804
154,CAMP154,480988,40392,20670,21761,"Search Ads","2023-06-29 00:00:00","2023-10-17 00:00:00",2623,39664,99723,28470,128193
155,CAMP155,606040,4581,29835,5733,"Social Media","2023-02-08 00:00:00","2023-12-27 00:00:00",7091,37647,98832,18555,117387
156,CAMP156,270146,1351,33625,265,Influencer,"2023-03-31 00:00:00","2023-01-29 00:00:00",2613,48151,40262,9004,49266
157,CAMP157,57628,84717,47498,11121,Email,"2023-03-16 00:00:00","2023-08-26 00:00:00",9702,46591,1972,47641,49613
158,CAMP158,645027,3097,39592,19664,Email,"2023-08-15 00:00:00","2023-04-18 00:00:00",8581,40817,98721,38818,137539
159,CAMP159,171475,116064,10719,14911,Email,"2023-05-04 00:00:00","2023-09-09 00:00:00",6727,15548,85269,22215,107484
160,CAMP160,32922,45261,45707,11150,"Social Media","2023-12-10 00:00:00","2023-05-01 00:00:00",8812,44200,4920,69498,74418
161,CAMP161,98583,59387,4323,28608,Email,"2023-04-07 00:00:00","2023-08-17 00:00:00",6041,49119,94498,51068,145566
162,CAMP162,420548,52656,11571,7972,"Search Ads","2023-12-06 00:00:00","2023-01-22 00:00:00",3391,7978,85734,40432,126166
163,CAMP163,156524,162457,49265,27871,"Social Media","2023-10-10 00:00:00","2023-04-26 00:00:00",8888,27579,1746,56521,58267
164,CAMP164,763166,16456,41546,22163,Influencer,"2023-07-26 00:00:00","2023-03-05 00:00:00",8209,46397,67504,49007,116511
165,CAMP165,946392,56814,19951,28982,"Social Media","2023-02-02 00:00:00","2023-02-25 00:00:00",2776,32396,98270,21219,119489
166,CAMP166,235326,162564,459,21414,Email,"2023-04-26 00:00:00","2023-06-23 00:00:00",8087,10312,85432,54711,140143
167,CAMP167,179187,178337,20911,4796,Email,"2023-12-20 00:00:00","2023-06-08 00:00:00",3321,41731,94429,17628,112057
168,CAMP168,775987,133084,14234,24689,"Search Ads","2023-11-12 00:00:00","2023-02-22 00:00:00",2344,23586,44901,17309,62210
169,CAMP169,45025,122523,30216,12612,Influencer,"2023-11-10 00:00:00","2023-03-16 00:00:00",1236,31068,80378,3635,84013
170,CAMP170,207783,172053,38070,3606,Influencer,"2023-06-28 00:00:00","2023-05-09 00:00:00",3127,40205,6066,38445,44511
171,CAMP171,642893,90453,26927,18682,"Social Media","2023-06-23 00:00:00","2023-04-21 00:00:00",7218,36098,68471,8280,76751
172,CAMP172,359813,26933,19223,4265,Email,"2023-08-22 00:00:00","2024-01-03 00:00:00",2186,12000,72549,39963,112512
173,CAMP173,584645,55997,6406,18796,Email,"2023-05-13 00:00:00","2023-08-12 00:00:00",7822,7321,71488,38069,109557
174,CAMP174,882972,23115,32948,12027,"Social Media","2023-04-04 00:00:00","2023-10-31 00:00:00",4062,15180,31692,42919,74611
175,CAMP175,244925,38712,33408,15136,Partnership,"2023-12-14 00:00:00","2023-03-19 00:00:00",6781,7360,56023,50588,106611
176,CAMP176,730391,157178,47597,3519,Email,"2023-07-14 00:00:00","2023-04-19 00:00:00",8970,15400,53032,64061,117093
177,CAMP177,137482,57685,28780,7742,Influencer,"2023-07-05 00:00:00","2023-12-02 00:00:00",9565,18553,74091,35835,109926
178,CAMP178,228543,34662,45301,13007,"Social Media","2023-06-14 00:00:00","2023-12-28 00:00:00",3474,5337,53116,9047,62163
179,CAMP179,937854,185587,24912,19072,"Social Media","2023-12-28 00:00:00","2023-06-15 00:00:00",1611,35280,45207,60835,106042
180,CAMP180,100791,143408,25920,22938,"Search Ads","2023-07-10 00:00:00","2023-11-04 00:00:00",7905,22124,62793,25785,88578
181,CAMP181,992878,163532,26365,127,Email,"2023-01-05 00:00:00","2023-04-09 00:00:00",4995,35111,36864,23918,60782
182,CAMP182,179619,84529,3522,24251,Email,"2023-07-25 00:00:00","2023-05-23 00:00:00",3352,32977,61114,70911,132025
183,CAMP183,961530,180333,44255,28640,Influencer,"2023-12-10 00:00:00","2023-10-04 00:00:00",6503,41016,31504,37879,69383
184,CAMP184,962173,175038,32969,4846,Partnership,"2023-08-15 00:00:00","2023-12-30 00:00:00",2674,5739,15473,19206,34679
185,CAMP185,15042,152849,38687,638,Influencer,"2023-03-15 00:00:00","2023-06-19 00:00:00",7915,18728,80176,39319,119495
186,CAMP186,222545,67299,21597,13591,Partnership,"2023-08-07 00:00:00","2023-09-14 00:00:00",8781,43158,39895,15197,55092
187,CAMP187,715106,168464,29855,28367,"Search Ads","2023-01-27 00:00:00","2023-04-09 00:00:00",6726,26053,50449,16005,66454
188,CAMP188,355550,155276,42270,15519,Influencer,"2023-01-23 00:00:00","2023-05-31 00:00:00",2659,32991,31483,26211,57694
189,CAMP189,73483,94071,36214,28797,Influencer,"2023-07-27 00:00:00","2023-07-15 00:00:00",8326,13604,24254,55951,80205
190,CAMP190,564073,37830,6768,15902,Email,"2023-12-21 00:00:00","2023-04-06 00:00:00",6323,9267,43307,56419,99726
191,CAMP191,829301,59529,3045,26651,Influencer,"2023-04-01 00:00:00","2023-01-16 00:00:00",4549,18409,72630,13501,86131
192,CAMP192,430216,20218,13695,10147,Email,"2023-02-21 00:00:00","2023-08-19 00:00:00",8484,21562,45159,19335,64494
193,CAMP193,980936,47688,10279,26570,"Search Ads","2023-10-30 00:00:00","2023-08-11 00:00:00",7835,27344,15039,24635,39674
194,CAMP194,418136,116489,10273,12141,Partnership,"2023-07-28 00:00:00","2023-12-12 00:00:00",7388,23853,87251,29017,116268
195,CAMP195,901570,135275,33652,6849,Influencer,"2023-03-03 00:00:00","2023-09-25 00:00:00",1243,32256,6144,28575,34719
196,CAMP196,315186,65295,32127,14824,"Search Ads","2023-10-31 00:00:00","2023-05-27 00:00:00",3581,48010,86588,3222,89810
197,CAMP197,60138,167310,36714,4818,Email,"2023-04-15 00:00:00","2023-03-18 00:00:00",4215,13977,88715,31294,120009
198,CAMP198,444699,193460,23140,25118,Partnership,"2023-05-09 00:00:00","2023-12-05 00:00:00",3800,25623,79626,4971,84597
199,CAMP199,618876,138521,22635,21808,Influencer,"2023-11-24 00:00:00","2023-06-09 00:00:00",7410,22091,34628,44345,78973
200,CAMP200,242587,145915,34719,12034,Influencer,"2023-04-05 00:00:00","2024-01-19 00:00:00",2681,14557,39949,15312,55261
201,CAMP201,807032,114500,23000,5156,"Social Media","2023-01-07 00:00:00","2023-04-10 00:00:00",4047,34426,30522,51099,81621
202,CAMP202,704692,52351,45667,6565,Influencer,"2023-06-23 00:00:00","2023-05-12 00:00:00",1797,24549,83999,20179,104178
203,CAMP203,292494,158176,39432,28318,"Search Ads","2023-09-03 00:00:00","2023-09-02 00:00:00",8363,19181,6994,29076,36070
204,CAMP204,324545,179062,47632,9380,Influencer,"2023-01-16 00:00:00","2023-09-28 00:00:00",5560,19998,11787,9395,21182
205,CAMP205,292572,106282,36665,15779,Influencer,"2023-06-19 00:00:00","2023-11-24 00:00:00",3274,10330,17359,40737,58096
206,CAMP206,130785,10233,18266,12349,"Social Media","2023-06-16 00:00:00","2023-11-30 00:00:00",9637,29071,50507,35499,86006
207,CAMP207,392175,60677,31331,2369,"Social Media","2023-11-06 00:00:00","2023-03-05 00:00:00",2655,46783,57385,34137,91522
